P122144 rev 3: EBOM
, , , , , , , , , , , , , , , , , , ,
Level,부품 번호,개정,수량,Unit Of Measure,부품 명,상태,Ref Des,공정,쪽보드,="F/N",RoHS 결과,SAP반제품코드,현재고(A등급),현재고(B등급),부품 상태,이동평균가,구매업체명,부품그룹,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R763,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R762,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R758,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R767,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R769,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R771,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R775,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R788,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R881,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R883,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R882,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
2,119333,1,1.0,EA (개별),"RES,TF,0Ω,1/10W,±5%,1608,REEL",배포,R880,="Auto-SMD",MAIN,,OK,1119422,84052,="0",A,1.0,진흥일렉트로닉스,고정저항,
